,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
1817,-0.192,-0.148,0.653,29.358,-83.923,-29.358,1,0
1818,-0.181,-0.169,0.615,31.189,-78.308,-31.616,1,0
1819,-0.156,-0.221,0.532,39.368,-74.829,-33.63,1,0
1820,-0.136,-0.226,0.49,51.636,-71.106,-37.842,1,0
1821,-0.116,-0.22,0.454,58.411,-66.65,-41.077,1,0
1822,-0.052,-0.12,0.399,62.561,-55.481,-46.082,1,0
1823,-0.029,-0.078,0.379,56.885,-39.185,-50.781,1,0
1824,0.031,0.02,0.37,45.898,-20.63,-54.016,1,0
1825,0.059,0.047,0.372,37.964,-9.46,-54.321,1,0
1826,0.078,0.062,0.385,24.841,4.944,-53.467,1,0
1827,0.083,0.076,0.432,17.822,13.977,-51.819,1,0
1828,0.089,0.079,0.448,13.977,20.264,-49.011,1,0
1829,0.071,0.064,0.522,12.329,24.597,-45.654,1,0
1830,0.074,0.076,0.562,12.451,29.114,-44.006,1,0
1831,0.08,0.083,0.596,7.263,36.499,-43.03,1,0
1832,0.081,0.092,0.666,-1.221,43.457,-43.213,1,0
1833,0.083,0.079,0.69,-7.935,51.392,-43.64,1,0
1834,0.075,0.033,0.753,-10.254,58.716,-42.725,1,0
1835,0.055,0.021,0.803,-6.409,63.843,-40.588,1,0
1836,0.039,0.031,0.85,1.526,72.205,-36.194,1,0
1837,0.247,0.856,0.821,-246.826,-63.293,-2.258,1,0
1838,0.143,0.794,0.776,-332.031,-42.542,7.019,1,0
1839,0.043,0.491,0.771,-427.002,-5.127,33.447,1,0
1840,0.105,0.139,0.657,-501.892,42.603,55.237,1,0
1841,0.147,0.118,0.494,-579.59,99.731,57.861,1,0
1842,0.11,0.027,0.347,-642.09,127.747,57.861,1,0
1843,-0.071,-0.284,0.147,-736.511,156.86,63.843,1,0
1844,-0.096,-0.431,0.096,-789.673,176.27,73.853,1,0
1845,-0.167,-0.703,0.105,-766.296,159.973,81.604,1,0
1846,-0.227,-0.895,0.168,-669.678,116.943,92.407,1,0
1847,-0.391,-1.171,0.422,-513.55,46.875,88.013,1,0
1848,-0.949,-2.374,0.909,-43.152,-97.961,38.147,1,0
1849,-0.71,-2.107,0.574,391.724,-184.021,9.766,1,0
1850,-0.386,-1.267,-0.129,577.209,-196.716,-13.855,1,0
1851,-0.156,-0.941,-0.261,580.75,-185.791,9.583,1,0
1852,-0.059,-0.681,-0.153,563.293,-178.833,13.245,1,0
1853,0.119,-0.417,0.198,517.822,-126.099,21.729,1,0
1854,0.135,-0.285,0.265,454.956,-51.086,48.767,1,0
1855,0.186,0.031,0.344,350.403,11.23,79.285,1,0
1856,0.219,0.205,0.434,251.282,57.312,96.13,1,0
1857,0.185,0.316,0.525,89.6,133.789,117.371,1,0
1858,0.007,0.066,0.791,-34.424,176.88,122.925,1,0
1859,-0.064,-0.076,1.031,-93.75,185.669,126.404,1,0
1860,-0.229,-0.332,1.243,-103.088,134.888,119.019,1,0
1861,-0.308,-0.44,1.242,-89.233,97.473,114.197,1,0
1862,-0.344,-0.56,1.362,-93.75,67.505,111.023,1,0
1863,-0.398,-0.75,1.59,-85.205,38.33,110.229,1,0
1864,-0.417,-0.914,1.658,-41.199,6.104,106.506,1,0
1865,-0.402,-0.989,1.678,-5.066,-13.672,102.966,1,0
1866,-0.365,-0.915,1.634,-5.371,-12.939,93.689,1,0
1867,-0.364,-0.91,1.645,-34.119,-10.864,78.674,1,0
1868,-0.377,-0.948,1.598,-88.501,-13.428,57.373,1,0
1869,-0.439,-1.034,1.606,-135.742,-27.771,34.119,1,0
1870,-0.51,-1.21,1.63,-120.056,-54.382,20.63,1,0
1871,-0.649,-1.682,1.537,-35.278,-110.413,6.409,1,0
1872,-0.62,-1.688,1.402,60.913,-156.799,-13.611,1,0
1873,-0.477,-1.318,1.147,107.483,-179.199,-37.292,1,0
1874,-0.411,-1.147,1.036,105.957,-181.763,-48.401,1,0
1875,-0.346,-1.016,0.94,76.355,-169.922,-61.035,1,0
1876,-0.285,-0.887,0.787,42.236,-149.78,-71.35,1,0
1877,-0.294,-0.865,0.756,27.832,-128.479,-76.416,1,0
1878,-0.311,-0.846,0.664,37.476,-117.859,-79.712,1,0
1879,-0.319,-0.829,0.61,50.11,-118.958,-81.848,1,1
1880,-0.305,-0.815,0.547,77.576,-122.009,-86.731,1,0
1881,-0.231,-0.68,0.433,96.863,-119.385,-93.506,1,0
1882,-0.209,-0.611,0.39,107.483,-110.352,-99.182,1,0
1883,-0.16,-0.436,0.327,107.483,-94.604,-99.243,1,0
1884,-0.116,-0.365,0.315,105.408,-79.285,-96.008,1,0
1885,-0.072,-0.294,0.316,102.295,-53.589,-89.966,1,0
1886,-0.043,-0.219,0.307,104.004,-36.56,-82.458,1,0
1887,-0.028,-0.181,0.284,109.558,-26.245,-74.402,1,0
1888,-0.009,-0.126,0.254,112.427,-21.667,-70.923,1,0
1889,0.02,-0.066,0.215,114.746,-14.832,-66.223,1,0
1890,0.044,-0.009,0.217,115.601,-3.906,-62.378,1,0
1891,0.089,0.067,0.225,109.131,8.24,-57.251,1,0
1892,0.126,0.111,0.237,97.778,25.085,-53.894,1,0
1893,0.135,0.136,0.25,85.327,35.95,-51.758,1,0
1894,0.112,0.13,0.315,64.392,53.65,-48.645,1,0
1895,0.077,0.107,0.338,51.819,64.758,-44.861,1,0
1896,0.018,0.03,0.392,50.293,73.303,-41.077,1,0
1897,0.007,0.007,0.43,51.941,73.792,-40.222,1,0
1898,0.013,0.015,0.472,57.434,66.956,-43.03,1,0
1899,0.015,0.041,0.527,53.162,66.284,-46.631,1,0
