,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
274,0.847,0.345,1.151,-36.987,-48.096,-117.554,0,0
275,0.823,0.368,1.12,-35.522,-58.411,-111.633,0,0
276,0.782,0.394,1.06,-33.936,-66.04,-106.201,0,0
277,0.757,0.4,1.02,-32.104,-70.129,-102.783,0,0
278,0.742,0.416,0.982,-30.945,-73.242,-97.778,0,0
279,0.683,0.432,0.952,-27.039,-75.5,-86.243,0,0
280,0.651,0.446,0.929,-22.827,-80.322,-67.383,0,0
281,0.617,0.462,0.872,-24.902,-83.557,-53.284,0,0
282,0.609,0.457,0.842,-28.32,-84.045,-45.288,0,0
283,0.599,0.451,0.821,-32.715,-82.214,-33.142,0,0
284,0.581,0.45,0.797,-37.048,-78.43,-22.583,0,0
285,0.581,0.446,0.792,-38.208,-74.219,-13.428,0,0
286,0.584,0.427,0.789,-35.278,-72.632,-9.644,0,0
287,0.586,0.376,0.769,-24.78,-72.693,-7.324,0,0
288,0.593,0.379,0.76,-13.0,-73.547,-4.883,0,0
289,0.587,0.414,0.737,-6.653,-71.594,-0.977,0,0
290,0.584,0.421,0.731,-5.249,-66.345,4.517,0,0
291,0.583,0.419,0.729,-4.333,-61.523,8.423,0,0
292,0.602,0.4,0.718,-2.502,-54.138,12.817,0,0
293,0.612,0.391,0.717,-3.418,-47.058,16.541,0,0
294,0.594,0.32,0.734,-3.174,-42.358,17.883,0,0
295,0.573,0.269,0.75,0.977,-42.664,16.357,0,0
296,0.561,0.238,0.762,13.062,-47.546,12.939,0,0
297,0.588,0.234,0.765,28.564,-54.077,10.742,0,1
298,0.623,0.25,0.747,39.795,-59.814,12.207,0,0
299,0.659,0.287,0.69,41.809,-63.66,12.817,0,0
300,0.677,0.292,0.667,41.992,-65.125,12.756,0,0
301,0.681,0.283,0.641,48.401,-67.444,12.939,0,0
302,0.689,0.248,0.587,65.613,-72.449,9.766,0,0
303,0.68,0.23,0.56,90.881,-81.543,7.141,0,0
304,0.686,0.24,0.516,106.445,-87.646,5.554,0,0
305,0.725,0.305,0.422,126.343,-94.36,5.798,0,0
306,0.935,0.721,0.174,-126.282,70.984,-242.615,0,0
307,0.891,1.488,0.376,-265.198,105.042,-173.462,0,0
308,0.821,1.792,0.42,-365.479,107.422,-74.524,0,0
309,0.724,1.91,0.44,-497.07,74.402,68.115,0,0
310,0.619,1.561,0.386,-589.417,21.667,187.622,0,0
311,0.679,1.299,0.35,-636.963,3.418,248.779,0,0
312,0.759,0.64,0.363,-637.39,7.935,288.452,0,0
313,0.734,0.409,0.397,-620.544,12.512,306.885,0,0
314,0.674,0.224,0.422,-603.088,13.0,326.294,0,0
315,0.495,0.039,0.355,-616.211,8.118,337.952,0,0
316,0.354,-0.193,0.279,-621.826,-17.334,328.247,0,0
317,0.106,-0.677,0.315,-564.575,-58.838,299.438,0,0
318,-0.107,-1.726,0.297,-354.492,-138.916,215.088,0,0
319,-0.166,-2.02,0.191,-73.73,-217.651,105.103,0,0
320,0.026,-1.872,-0.15,196.411,-259.705,15.991,0,0
321,0.248,-1.533,-0.308,374.451,-240.967,-40.955,0,0
322,0.367,-1.219,-0.387,424.438,-211.243,-68.726,0,0
323,0.462,-0.787,-0.356,434.875,-162.598,-108.826,0,0
324,0.468,-0.692,-0.26,417.542,-122.986,-147.949,0,0
325,0.5,-0.562,-0.153,405.762,-88.562,-164.856,0,0
326,0.511,-0.455,-0.146,402.039,-52.551,-144.531,0,0
327,0.561,-0.283,-0.139,387.329,-23.132,-117.798,0,0
328,0.692,-0.086,-0.037,347.778,30.334,-73.73,0,0
329,0.689,-0.051,0.063,296.143,77.393,-40.833,0,0
330,0.573,-0.052,0.249,241.028,104.37,-25.146,0,0
331,0.49,-0.076,0.333,209.961,109.131,-19.165,0,0
332,0.445,-0.121,0.377,180.603,99.976,-12.39,0,0
333,0.468,-0.137,0.392,169.495,83.557,-2.319,0,0
334,0.558,-0.129,0.396,165.771,77.148,6.775,0,0
335,0.617,-0.117,0.404,165.161,80.688,8.789,0,0
336,0.632,-0.097,0.423,166.321,90.454,5.615,0,0
337,0.623,-0.085,0.438,172.18,112.0,5.432,0,0
338,0.681,0.035,0.514,168.945,134.277,12.268,0,0
339,0.694,0.094,0.557,143.616,149.17,20.447,0,0
340,0.682,0.13,0.609,114.319,153.87,25.818,0,0
341,0.605,0.08,0.706,67.505,151.184,33.325,0,0
342,0.544,-0.016,0.749,34.973,140.686,40.833,0,0
343,0.456,-0.247,0.772,25.94,123.535,46.875,0,0
344,0.41,-0.35,0.786,37.17,102.783,51.697,0,0
345,0.401,-0.44,0.803,49.805,97.717,50.903,0,0
346,0.443,-0.491,0.857,64.392,105.286,36.133,0,0
347,0.452,-0.492,0.885,72.51,123.169,10.742,0,0
348,0.369,-0.36,0.946,61.462,133.423,-12.939,0,0
349,0.308,-0.3,0.985,43.091,133.362,-22.888,0,0
350,0.265,-0.275,1.012,8.789,125.977,-23.499,0,0
351,0.241,-0.354,1.057,-14.648,110.291,-20.325,0,0
352,0.277,-0.43,1.101,-12.085,95.032,-34.546,0,0
353,0.309,-0.456,1.184,10.681,78.247,-54.749,0,0
354,0.339,-0.371,1.208,24.658,69.58,-65.735,0,0
355,0.365,-0.269,1.227,30.945,62.012,-72.937,0,0
356,0.4,-0.161,1.248,21.423,62.073,-74.524,0,0
357,0.396,-0.157,1.248,6.592,65.308,-79.529,0,0
358,0.365,-0.168,1.259,-7.324,66.101,-87.952,0,0
359,0.346,-0.142,1.281,-13.977,63.843,-94.727,0,0
360,0.361,-0.082,1.326,-18.127,63.843,-112.244,0,0
361,0.341,0.011,1.378,-13.367,60.73,-119.873,0,0
362,0.329,0.062,1.387,-9.338,50.598,-121.704,0,0
363,0.31,0.083,1.389,-7.324,40.771,-117.92,0,0
364,0.286,0.123,1.345,-7.324,22.4,-109.619,0,0
365,0.274,0.118,1.334,-7.019,6.47,-109.375,0,0
366,0.269,0.153,1.327,-2.93,-2.686,-115.417,0,0
367,0.266,0.198,1.329,2.686,-5.981,-120.3,0,0
368,0.272,0.254,1.322,3.052,-6.287,-120.85,0,0
369,0.284,0.356,1.304,-5.371,-3.906,-118.286,0,0
370,0.287,0.397,1.294,-22.583,-1.221,-111.755,0,0
371,0.287,0.347,1.269,-34.058,-3.113,-105.469,0,0
372,0.263,0.28,1.257,-33.447,-9.216,-101.868,0,0
373,0.236,0.201,1.25,-16.541,-21.851,-95.459,0,0
374,0.21,0.14,1.208,3.296,-36.499,-92.163,0,0
375,0.21,0.136,1.183,14.343,-45.715,-91.309,0,0
376,0.247,0.159,1.133,13.428,-46.814,-92.529,0,0
377,0.261,0.176,1.118,6.47,-43.701,-93.811,0,0
378,0.264,0.191,1.11,-9.583,-34.424,-94.36,0,0
379,0.235,0.21,1.115,-27.527,-25.574,-88.562,0,0
380,0.212,0.191,1.112,-39.734,-22.095,-83.801,0,0
381,0.183,0.121,1.113,-39.917,-24.231,-82.764,0,0
382,0.118,-0.021,1.125,-23.987,-33.142,-83.496,0,0
383,0.09,-0.052,1.119,0.244,-45.959,-88.806,0,0
384,0.077,0.001,1.11,21.484,-57.068,-93.262,0,0
385,0.081,0.069,1.095,31.067,-63.721,-94.666,0,0
386,0.091,0.136,1.078,30.701,-65.369,-93.994,0,0
387,0.103,0.246,1.053,25.33,-65.125,-91.858,0,0
388,0.109,0.29,1.056,19.653,-62.622,-90.515,0,0
389,0.12,0.377,1.067,17.029,-59.387,-87.891,0,0
390,0.122,0.431,1.088,16.174,-58.289,-83.557,0,0
391,0.124,0.495,1.108,16.174,-59.692,-77.576,0,0
392,0.137,0.625,1.14,16.541,-63.782,-64.331,0,0
393,0.152,0.672,1.142,17.517,-68.604,-48.706,0,0
394,0.177,0.708,1.107,17.456,-74.402,-31.494,0,0
395,0.189,0.708,1.08,16.235,-77.82,-20.264,0,0
396,0.209,0.688,1.048,13.062,-80.2,-5.432,0,1
397,0.235,0.619,0.977,9.155,-79.895,7.507,0,0
398,0.23,0.573,0.944,5.798,-76.965,18.372,0,0
399,0.225,0.483,0.893,5.005,-72.693,26.367,0,0
400,0.226,0.436,0.87,5.432,-68.237,30.396,0,0
401,0.233,0.4,0.852,6.165,-60.181,35.156,0,0
402,0.247,0.359,0.82,5.676,-49.133,40.1,0,0
403,0.246,0.347,0.815,4.272,-37.231,44.556,0,0
404,0.241,0.33,0.808,3.906,-29.541,47.546,0,0
405,0.218,0.3,0.784,4.883,-20.02,51.941,0,0
406,0.208,0.285,0.762,9.094,-12.451,56.274,0,0
407,0.201,0.269,0.72,17.456,-5.92,58.533,0,0
408,0.531,0.961,0.608,203.186,-125.732,-139.526,0,0
409,0.58,1.192,0.583,115.845,-134.521,-100.159,0,0
410,0.662,1.502,0.517,10.925,-128.052,-59.814,0,0
411,0.694,1.656,0.484,-116.577,-103.943,-5.554,0,0
412,0.684,1.838,0.356,-277.283,-54.504,68.542,0,0
413,0.678,1.742,0.248,-382.874,-13.184,119.263,0,0
414,0.627,1.576,0.162,-515.076,45.105,185.486,0,0
415,0.468,0.763,0.192,-576.294,88.806,230.225,0,0
416,0.369,0.413,0.273,-565.002,101.807,232.3,0,0
417,0.315,0.129,0.374,-532.654,92.834,218.018,0,0
418,0.287,-0.154,0.611,-459.412,64.819,194.702,0,0
419,0.245,-0.205,0.681,-391.418,21.179,174.438,0,0
420,0.253,-0.401,0.801,-317.749,-30.64,158.813,0,0
421,0.261,-0.589,0.799,-199.097,-81.299,151.55,0,0
422,0.301,-0.595,0.766,-131.592,-103.21,145.325,0,0
423,0.465,-0.408,0.58,-78.857,-104.736,144.47,0,0
424,0.509,-0.293,0.511,-92.041,-77.576,150.879,0,0
425,0.503,-0.176,0.438,-146.912,-35.767,162.231,0,0
426,0.343,-0.372,0.427,-178.284,-14.648,166.382,0,0
427,0.154,-0.756,0.396,-143.127,-15.442,159.973,0,0
428,0.042,-1.106,0.386,-56.824,-34.729,134.705,0,0
