,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
116,0.611,0.083,0.333,494.019,-86.792,-174.194,0,0
117,0.67,0.182,0.419,423.279,-61.462,-148.437,0,0
118,0.747,0.445,0.557,353.882,-36.987,-107.788,0,0
119,0.787,0.528,0.625,290.649,-20.996,-66.406,0,0
120,0.801,0.584,0.67,250.488,-14.282,-40.405,0,0
121,0.814,0.637,0.706,191.284,-5.493,-5.371,0,0
122,0.804,0.632,0.719,135.071,2.686,24.475,0,0
123,0.733,0.543,0.717,87.036,6.226,48.645,0,0
124,0.698,0.463,0.715,55.359,4.089,69.458,0,0
125,0.661,0.373,0.71,45.776,-0.671,78.918,0,0
126,0.631,0.15,0.675,50.049,-7.751,85.632,0,0
127,0.605,0.066,0.655,69.58,-13.062,85.022,0,0
128,0.572,-0.045,0.604,94.543,-15.747,81.055,0,0
129,0.549,-0.054,0.575,107.056,-15.93,78.125,0,0
130,0.53,-0.048,0.546,115.906,-15.32,73.486,0,0
131,0.514,-0.039,0.487,116.882,-12.817,70.435,0,0
132,0.491,-0.046,0.459,112.549,-8.728,68.237,0,0
133,0.498,-0.029,0.411,104.248,-1.831,65.857,0,0
134,0.494,-0.032,0.393,97.9,3.662,64.27,0,0
135,0.479,-0.028,0.381,89.417,10.986,62.195,0,0
136,0.463,-0.07,0.347,84.412,16.907,62.744,0,0
137,0.449,-0.094,0.336,82.397,22.095,65.247,0,0
138,0.44,-0.131,0.326,82.642,24.17,66.65,0,0
139,0.438,-0.21,0.318,84.106,26.978,65.125,0,0
140,0.429,-0.229,0.328,84.717,30.212,58.533,0,0
141,0.407,-0.258,0.379,81.848,33.752,49.377,0,0
142,0.412,-0.273,0.411,74.341,38.818,40.833,0,0
143,0.436,-0.297,0.434,67.688,42.297,37.903,0,0
144,0.493,-0.347,0.498,54.138,46.814,34.424,0,0
145,0.534,-0.38,0.522,40.039,51.575,32.227,0,0
146,0.576,-0.436,0.571,27.161,59.509,30.029,0,0
147,0.596,-0.473,0.593,13.062,68.542,26.978,0,0
148,0.653,-0.503,0.622,4.7,76.355,22.217,0,0
149,0.753,-0.534,0.676,-5.859,88.501,7.996,0,0
150,0.784,-0.522,0.711,-14.16,98.145,-10.681,0,0
151,0.823,-0.512,0.818,-20.081,100.22,-25.391,0,0
152,0.85,-0.506,0.864,-24.536,98.877,-30.579,0,0
153,0.87,-0.487,0.905,-34.363,91.736,-35.339,0,0
154,0.964,-0.455,0.976,-50.232,84.473,-40.466,0,0
155,1.026,-0.43,1.013,-67.078,78.735,-50.171,0,0
156,1.112,-0.421,1.083,-78.552,73.547,-61.523,0,0
157,1.132,-0.386,1.119,-84.167,67.871,-69.946,0,0
158,1.153,-0.354,1.136,-90.576,57.007,-83.313,0,0
159,1.194,-0.289,1.157,-92.834,44.617,-92.651,0,0
160,1.205,-0.252,1.142,-95.581,33.02,-98.328,0,0
161,1.21,-0.216,1.129,-98.572,26.794,-100.708,0,0
162,1.186,-0.108,1.086,-105.713,18.616,-105.408,0,0
163,1.191,-0.062,1.068,-110.718,14.343,-117.371,0,0
164,1.127,-0.029,1.037,-108.154,11.963,-125.732,0,0
165,1.093,0.01,1.018,-101.44,12.512,-130.371,0,0
166,1.027,0.034,0.994,-96.802,13.489,-131.409,0,0
167,0.866,0.07,0.946,-91.797,15.625,-131.531,0,0
168,0.779,0.085,0.933,-92.773,16.663,-130.92,0,0
169,0.659,0.091,0.926,-95.398,16.846,-135.864,0,0
170,0.622,0.085,0.938,-94.055,16.968,-141.479,0,0
171,0.588,0.059,0.944,-84.9,16.052,-148.376,0,0
172,0.577,0.062,0.956,-65.002,10.193,-160.828,0,0
173,0.577,0.074,0.95,-37.537,0.366,-171.57,0,0
174,0.622,0.256,0.962,-11.536,-3.479,-177.551,0,0
175,0.669,0.393,0.973,4.272,-6.653,-178.772,0,0
176,0.682,0.533,1.015,19.287,-17.029,-165.344,0,0
177,0.697,0.736,1.082,10.681,-34.241,-126.709,0,0
178,0.739,0.757,1.087,-13.184,-48.34,-82.397,0,0
179,0.763,0.742,1.096,-30.09,-53.406,-59.692,0,0
180,0.762,0.595,1.095,-43.64,-58.777,-36.316,0,0
181,0.74,0.512,1.094,-37.476,-65.979,-24.17,0,0
182,0.696,0.382,1.076,-16.663,-77.576,-19.897,0,0
183,0.718,0.358,1.064,6.836,-89.172,-17.944,0,0
184,0.738,0.357,1.046,18.982,-95.52,-15.442,0,0
185,0.738,0.391,1.008,27.039,-102.905,-9.521,0,0
186,0.733,0.388,0.988,27.832,-104.309,-0.427,0,0
187,0.713,0.373,0.95,26.001,-100.83,8.423,0,0
188,0.69,0.348,0.926,25.513,-94.727,17.822,0,0
189,0.668,0.343,0.896,25.574,-89.661,22.827,0,0
190,0.672,0.295,0.827,29.114,-80.078,28.564,0,0
191,0.648,0.285,0.801,33.936,-70.007,30.762,0,0
192,0.586,0.281,0.759,38.452,-61.218,30.823,0,0
193,0.555,0.281,0.745,40.405,-57.007,30.945,0,0
194,0.531,0.295,0.731,39.49,-57.068,31.677,0,0
195,0.511,0.287,0.681,35.339,-62.439,32.898,0,0
196,0.515,0.283,0.653,33.569,-68.237,33.447,0,1
197,0.529,0.233,0.605,38.635,-73.059,32.532,0,0
198,0.551,0.216,0.583,45.959,-76.294,31.433,0,0
199,0.573,0.196,0.556,61.279,-78.674,30.151,0,0
200,0.6,0.189,0.487,73.853,-79.712,30.334,0,0
