,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
4488,-0.675,-1.806,0.719,125.305,-259.949,106.628,3,1
4489,-1.003,-2.967,-0.627,315.491,-380.127,20.691,3,0
4490,-0.588,-2.795,-1.172,585.999,-349.426,-183.289,3,0
4491,-0.224,-1.72,-1.557,683.411,-312.805,-293.152,3,0
4492,0.755,0.916,-1.439,655.945,-267.517,-393.188,3,0
4493,1.018,1.627,-1.169,445.068,-10.925,-352.173,3,0
4494,0.745,2.647,-0.114,124.817,334.717,-214.355,3,0
4495,0.287,2.303,0.68,-37.537,413.574,-154.175,3,0
4496,0.007,1.537,1.257,-102.722,323.669,-107.788,3,0
4497,-0.79,0.25,1.766,-34.119,166.687,-51.208,3,0
4498,-0.907,-0.011,1.86,82.031,7.874,-20.081,3,0
4499,-0.617,0.143,1.741,145.142,-112.0,-23.071,3,0
4500,-0.403,0.33,1.582,128.357,-153.503,-28.687,3,0
4501,-0.163,0.443,1.398,41.565,-161.255,-30.579,3,0
4502,0.198,0.496,1.042,-66.589,-126.282,-34.241,3,0
4503,0.223,0.366,0.89,-144.836,-78.308,-35.156,3,0
4504,0.211,0.079,0.807,-161.865,-36.377,-31.738,3,0
4505,0.194,-0.013,0.851,-149.597,-14.038,-33.875,3,0
4506,0.157,-0.029,0.962,-122.803,4.211,-43.945,3,0
4507,0.167,0.18,1.187,-109.314,10.498,-59.509,3,0
4508,0.149,0.277,1.351,-86.548,-4.456,-54.26,3,0
4509,0.133,0.301,1.5,-58.228,-24.841,-43.884,3,0
4510,0.265,0.488,1.79,-10.681,-52.49,-40.222,3,0
4511,0.397,0.742,1.925,12.939,-69.031,-39.429,3,0
4512,0.751,1.226,2.075,-7.568,-63.538,-19.348,3,0
4513,0.819,1.3,2.056,-62.073,-41.138,4.883,3,0
4514,0.759,1.19,1.992,-92.163,-29.907,17.151,3,0
4515,0.358,0.569,1.755,-88.196,-32.104,33.081,3,0
4516,0.146,0.27,1.555,-33.081,-54.321,43.762,3,0
4517,-0.118,-0.03,0.894,27.649,-83.313,55.542,3,0
4518,-0.126,-0.063,0.466,49.377,-88.562,61.584,3,0
4519,-0.163,-0.179,0.053,56.946,-60.181,71.289,3,0
4520,-0.422,-0.526,-0.376,60.608,-9.949,71.35,3,0
4521,-0.587,-0.679,-0.416,79.102,5.371,47.791,3,0
4522,-0.704,-0.536,-0.379,80.078,15.869,21.057,3,0
4523,-0.697,-0.443,-0.31,66.711,8.545,6.897,3,0
4524,-0.625,-0.379,-0.239,37.659,-4.211,-13.794,3,0
4525,-0.379,-0.202,-0.105,16.541,-8.423,-30.09,3,0
4526,-0.211,-0.056,0.017,8.057,-12.634,-37.231,3,0
4527,-0.063,0.133,0.167,3.54,-17.212,-40.344,3,0
4528,0.189,0.49,0.516,7.08,-22.339,-33.813,3,0
4529,0.271,0.634,0.711,20.935,-23.621,-26.733,3,0
4530,0.39,0.91,1.094,44.434,-15.503,-18.616,3,0
4531,0.419,1.071,1.247,66.467,10.071,-6.592,3,0
4532,0.405,1.229,1.405,72.571,30.945,4.944,3,0
4533,0.267,1.498,1.738,64.209,54.016,18.677,3,0
4534,0.146,1.545,1.875,41.26,54.504,31.25,3,0
