,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,Label,Sep
6722,-0.816,0.219,1.332,-116.211,52.612,-385.193,5,0
6723,-0.74,0.394,1.451,-138.0,63.965,-394.897,5,0
6724,-0.719,0.52,1.597,-159.912,74.646,-394.287,5,0
6725,-0.707,0.493,1.611,-165.833,65.552,-373.23,5,0
6726,-0.729,0.297,1.511,-153.137,34.668,-334.167,5,0
6727,-0.846,0.145,1.44,-128.479,5.249,-302.551,5,0
6728,-0.91,0.118,1.393,-74.28,-30.518,-263.062,5,0
6729,-0.83,0.333,1.289,-26.062,-38.147,-234.985,5,0
6730,-0.746,0.46,1.251,-1.831,-26.489,-199.585,5,1
6731,-0.594,0.603,1.288,1.282,-4.639,-152.954,5,0
6732,-0.534,0.59,1.297,-2.38,8.362,-121.399,5,0
6733,0.187,0.156,1.16,83.679,-175.293,-23.743,5,0
6734,0.153,0.133,0.9,50.842,-186.646,-18.372,5,0
6735,0.143,0.087,0.766,26.245,-195.251,-13.184,5,0
6736,0.156,0.026,0.521,9.583,-197.205,-9.888,5,0
6737,0.167,0.012,0.405,-5.066,-190.735,-10.132,5,0
6738,0.2,0.011,0.303,-16.052,-179.504,-11.475,5,0
6739,0.296,0.021,0.195,-37.17,-144.958,-12.329,5,0
6740,0.361,0.03,0.196,-60.059,-86.792,-15.259,5,0
6741,0.421,0.01,0.233,-80.2,-17.639,-15.991,5,0
6742,0.418,-0.03,0.263,-87.83,27.466,-14.221,5,0
6743,0.405,-0.072,0.325,-86.304,76.355,-12.939,5,0
6744,0.316,-0.169,0.499,-66.04,86.182,-16.663,5,0
6745,0.269,-0.234,0.548,-26.611,62.988,-11.597,5,0
6746,0.24,-0.233,0.65,22.949,28.076,-2.869,5,0
6747,0.287,-0.172,0.694,54.504,7.69,3.052,5,0
6748,0.354,-0.07,0.721,84.351,-8.24,5.798,5,0
6749,0.406,0.134,0.782,91.064,-6.592,9.338,5,0
6750,0.412,0.22,0.812,80.811,5.066,14.771,5,0
6751,0.413,0.287,0.858,69.153,16.907,15.869,5,0
6752,0.318,0.453,1.019,49.866,34.18,13.977,5,0
6753,0.235,0.557,1.083,25.33,39.307,21.484,5,0
6754,0.044,0.673,1.166,6.775,24.231,51.025,5,0
6755,0.018,0.674,1.136,-1.038,-0.977,81.421,5,0
6756,0.017,0.654,1.082,0.366,-14.893,98.083,5,0
6757,0.04,0.555,0.957,18.25,-28.625,120.544,5,0
6758,0.067,0.527,0.902,52.551,-27.466,141.541,5,0
6759,0.099,0.549,0.806,88.806,-14.221,162.598,5,0
6760,0.107,0.564,0.754,118.53,6.165,185.608,5,0
6761,0.137,0.59,0.705,132.568,24.475,202.515,5,0
6762,0.236,0.676,0.608,145.752,66.223,228.516,5,0
6763,0.302,0.715,0.593,152.039,133.911,252.319,5,0
6764,0.36,0.666,0.631,158.02,222.168,278.015,5,0
6765,0.308,0.66,0.664,159.058,291.687,301.086,5,0
6766,0.253,0.655,0.719,153.992,383.972,327.576,5,0
6767,0.083,0.505,0.854,141.663,429.382,326.05,5,0
6768,-0.031,0.454,0.93,117.188,419.312,299.255,5,0
6769,-0.284,0.542,1.144,76.538,382.812,276.245,5,0
6770,-0.427,0.566,1.262,54.016,341.003,274.719,5,0
6771,-0.568,0.531,1.335,47.668,260.986,302.185,5,0
6772,-0.784,0.522,1.378,59.875,192.627,335.815,5,0
6773,-0.928,0.412,1.357,67.139,167.664,355.469,5,0
6774,-1.073,0.294,1.312,58.411,171.57,355.225,5,0
6775,-1.208,0.239,1.202,12.268,197.876,336.853,5,0
6776,-1.263,0.221,1.144,-58.411,210.51,310.73,5,0
6777,-1.283,0.156,0.969,-123.779,188.965,295.288,5,0
6778,-1.327,0.022,0.886,-143.86,139.038,298.34,5,0
6779,-1.355,-0.085,0.797,-137.512,101.379,298.889,5,0
6780,-1.266,-0.222,0.624,-118.042,61.646,286.133,5,0
6781,-1.235,-0.276,0.51,-100.159,52.185,258.301,5,0
6782,-1.103,-0.356,0.295,-87.28,60.913,226.99,5,0
6783,-1.1,-0.448,0.228,-82.031,73.792,208.435,5,0
6784,-1.105,-0.594,0.199,-72.998,112.183,173.157,5,0
6785,-1.075,-1.333,0.167,-73.364,171.692,93.201,5,0
6786,-1.166,-1.298,0.248,-57.19,153.259,111.145,5,0
6787,-0.932,-1.412,0.824,13.611,119.69,137.39,5,0
6788,-0.986,-1.741,0.924,49.133,98.511,119.08,5,0
6789,-1.144,-1.573,1.102,139.648,30.457,112.915,5,0
6790,-0.933,-1.769,0.736,156.433,10.864,47.302,5,0
6791,-1.05,-1.395,0.758,181.458,-39.612,-16.846,5,0
6792,-1.147,-0.882,0.662,193.726,-128.052,-104.248,5,0
6793,-1.196,-0.627,0.543,162.17,-158.691,-169.067,5,0
6794,-1.251,-0.389,0.493,106.873,-191.162,-238.647,5,0
6795,-1.253,-0.118,0.458,33.264,-202.271,-275.696,5,0
6796,-1.29,-0.104,0.475,-19.592,-192.261,-282.043,5,0
6797,-1.274,-0.138,0.52,-28.442,-172.668,-274.658,5,0
6798,-1.074,-0.269,0.627,-10.803,-142.7,-261.414,5,0
6799,-1.024,-0.389,0.656,23.315,-125.061,-248.962,5,0
6800,-1.015,-0.471,0.693,32.837,-127.014,-257.874,5,0
6801,-1.06,-0.475,0.759,23.437,-140.381,-285.95,5,0
6802,-1.08,-0.462,0.83,20.752,-142.151,-304.81,5,0
6803,-1.01,-0.295,0.981,7.629,-114.319,-328.247,5,0
